Date;BZ1Index;CF1Index;DM1Index;EO1Index;ES1Index;GX1Index;HI1Index;IB1Index;IFB1Index;IS1Index;NK1Index;NQ1Index;PT1Index;QC1Index;SM1Index;ST1Index;VG1Index;XP1Index;Z1Index
03.01.2000;17489;5910;NA;674,53;1466,75;6804,5;17365;11616,5;NA;7370;NA;3844,5;NA;NA;7623;NA;4862;NA;NA
04.01.2000;16373;5688;NA;644,67;1411,75;6630;17000;11142,5;NA;6987;18990;3557,5;486,8;NA;7311;NA;4672;NA;6707,5
05.01.2000;16694;5485;NA;634,17;1413,5;6532;15655;10858,5;NA;7044;18380;3512,5;480,25;NA;7215;NA;4562;NA;6569,5
06.01.2000;16530;5476;NA;626,6;1404;6505,5;14965;NA;NA;7025;17900;3312,5;476;NA;7307;NA;4535;NA;6488
07.01.2000;16741;5566;NA;647,3;1459,75;6830;15240;11056;NA;7321;18170;3562;497,5;NA;7466;NA;4684;NA;6532
10.01.2000;17392;5672;NA;655,48;1475;6960;15880;11115;NA;7600;NA;3770;506,9;NA;7483;NA;4747;NA;6643
11.01.2000;16963;5628;NA;650;1454,25;6938,5;15980;10976,5;NA;7411;18830;3575;498,5;NA;7453;NA;4708;NA;6543
12.01.2000;16840;5600;NA;639,19;1442;6938;15690;10907;NA;7437;18620;3503,5;492,1;NA;7473;NA;4664;NA;6568
13.01.2000;17656;5633;NA;641,59;1459;7009;15630;10957,5;NA;7555;18920;3644;495,3;NA;7461;NA;4711;NA;6556
14.01.2000;17899;5811;NA;657,58;1478;7229;15420;11255;NA;7675;18850;3751,5;491,35;NA;7550;NA;4897;NA;6690
17.01.2000;18288;5851;NA;661,61;NA;7307;15570;11265,5;NA;7705;19300;3761;496,9;NA;7528;NA;4927;NA;6705
18.01.2000;18122;5690,5;NA;647,56;1469,5;7123;15765;11063;NA;7580;19150;3807;503,6;NA;7414;NA;4781;NA;6511,5
19.01.2000;17781;5659;NA;641,91;1472,5;7128;15200;11141;NA;7440;18930;3850;506;NA;7370;NA;4769;NA;6464
20.01.2000;17379;5717;NA;643,66;1456,25;7140;15310;10994,5;NA;7295;19060;3880;507,6;NA;7287;NA;4792;NA;6363
21.01.2000;17282;5676,5;NA;641,84;1454,25;7012,5;14990;10933,7;NA;7100;18760;3893;503,2;NA;7251;NA;4710;NA;6362
